PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01-03-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,111.03,145.02,,225.17,30.42,38.92,54.82,128.77,278.96,170.09,169.06,219.34,184.47,173.6,178.67,110.66,118.4,138.11,482.31,299.05,204.31,251.84,395.94,162.03,191.69
01-04-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,166.74,202.04,,194.85,390.12,281.35,172.04,104.61,139.78,187.63,154.12,124.55,68.71,56.55,43.74,46.09,33.49,47.87,46.88,40.24,53.01,57.45,50.35,41.77,33.21
01-05-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,33.84,54.47,,70.33,57.62,48.62,70.17,77.87,50.77,83.87,108.78,109.81,93.35,79.52,69.28,83.23,84.43,83.94,88.46,63.92,66.87,59.94,38.5,32.5,31.01
01-06-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,27.58,26.98,,26.01,21.44,26.41,28.51,47.93,54.21,44.03,83.97,152.09,148.5,109.48,83.18,79.02,60.3,92.43,487.09,501.62,793.59,804.92,194.64,299.81,326.68
01-07-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,320.43,420.5,,427.96,279.22,473.23,483.38,1020.14,1718.58,1804.58,1766.82,1771.36,1441.62,468.36,529.65,406.5,277.52,307.94,1173.41,595.15,690.61,568.17,393.09,280.86,266.37
01-08-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,196.76,193.08,,182.86,129.3,131.8,233.36,519.15,356.92,170.35,198.93,188.69,299.96,144.43,137.84,45.23,112.04,172.01,264.87,172.48,188.27,230.32,141.41,81.98,42.54
01-09-2014,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,44.95,47.93,,40.13,47.0,45.43,38.2,207.28,123.85,70.7,57.52,40.79,43.51,38.38,32.6,35.07,36.42,35.74,93.77,51.61,54.26,47.26,41.48,34.63,32.5
07-05-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,31.11,29.41,,23.06,22.7,22.78,26.37,25.78,28.95,32.15,38.42,44.27,34.82,50.01,35.75,40.13,48.2,54.41,44.37,33.0,36.86,38.16,40.16,37.93,36.03
07-06-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,34.43,32.87,,26.43,25.93,24.12,23.51,24.32,28.15,39.64,54.53,153.55,48.68,53.41,56.65,137.33,149.71,140.08,95.38,55.17,49.26,49.5,60.52,39.6,38.33
07-07-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,34.65,33.35,,27.57,25.48,21.62,19.25,11.03,28.31,31.88,39.67,36.99,38.86,47.46,43.09,50.08,83.66,74.83,48.12,57.37,58.16,46.7,40.17,31.9,33.11
07-08-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,26.54,26.3,,23.4,19.65,23.72,26.98,28.87,30.69,34.41,35.6,41.0,46.14,51.86,48.23,63.5,76.44,54.61,58.91,58.88,59.7,51.24,50.26,37.76,31.27
07-09-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,29.69,27.8,,26.16,20.5,26.0,28.38,30.96,36.42,38.07,45.78,46.54,46.71,57.16,48.96,61.04,53.48,52.84,59.8,44.77,61.46,68.68,57.8,39.39,34.94
07-10-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,33.04,31.22,,29.86,28.09,29.5,34.41,36.56,44.07,51.2,56.68,52.63,54.5,55.27,79.77,55.31,59.68,46.76,58.38,47.89,45.7,54.53,52.04,39.01,33.54
07-11-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,32.86,31.44,,29.96,27.17,28.04,30.42,31.61,35.07,37.97,36.1,37.39,38.49,46.53,62.36,51.94,77.18,58.15,53.19,50.03,44.87,39.67,41.99,35.73,31.66
10-11-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,24.72,24.89,,25.28,25.63,24.96,24.41,28.54,29.1,30.22,34.72,35.56,38.78,48.31,38.26,30.7,32.03,32.46,30.66,34.76,39.59,30.78,28.49,27.02,26.85
10-12-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,26.37,25.3,,23.22,21.72,25.08,26.46,26.46,26.42,25.56,27.43,29.91,28.82,29.42,26.36,29.03,29.97,31.47,30.48,38.67,43.1,33.64,27.84,25.68,23.56
10-13-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,23.36,21.46,,5.82,17.28,18.19,19.17,23.47,23.38,23.63,23.92,24.54,24.71,27.03,26.08,26.07,28.23,29.09,29.36,35.03,36.97,31.29,27.94,27.57,29.74
10-14-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,23.69,21.11,,15.66,22.85,21.44,24.65,27.21,33.82,29.88,33.28,34.58,30.89,32.14,37.6,35.29,32.74,49.63,34.29,42.46,56.95,34.29,30.52,27.68,25.41
10-15-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,25.4,26.43,,24.27,23.79,26.24,28.06,53.24,74.66,35.86,39.57,66.24,42.93,39.66,52.49,32.66,31.79,32.07,34.32,39.08,58.85,34.06,33.78,27.3,27.0
10-16-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,24.99,25.45,,23.85,24.03,25.46,26.94,31.46,39.12,39.89,41.49,39.94,34.21,33.73,36.8,33.82,33.06,33.41,33.47,39.42,56.82,37.1,35.25,30.45,29.38
10-17-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,26.92,25.9,,25.57,25.58,26.05,26.46,39.25,53.68,44.16,40.84,38.32,38.8,52.05,35.1,34.33,35.21,33.92,35.69,42.45,52.02,27.78,33.32,29.52,27.37
06-14-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,24.61,25.42,,23.43,10.13,23.62,27.37,26.37,28.52,29.45,30.7,32.55,32.5,31.47,32.66,32.16,44.74,36.74,37.44,36.45,32.59,30.68,31.19,29.25,26.06
06-15-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,25.16,25.33,,26.08,7.36,17.54,24.48,23.46,30.21,29.73,31.8,33.73,40.08,40.63,42.9,39.53,43.71,42.37,44.1,39.36,36.28,36.03,39.24,31.35,30.18
06-16-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,27.95,27.63,,25.39,23.49,21.31,15.86,2.67,20.64,26.1,26.4,28.24,34.48,41.51,37.56,38.56,37.54,36.65,37.3,39.19,39.88,43.67,64.98,39.06,32.57
06-17-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,28.67,27.59,,26.67,25.45,26.51,28.03,29.24,31.07,35.27,49.24,64.66,66.45,65.98,98.65,92.0,64.82,67.91,58.17,50.46,49.42,55.45,68.5,43.06,34.11
06-18-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,29.76,28.95,,26.04,25.75,26.45,30.82,27.57,30.06,36.17,34.71,41.23,41.82,39.63,38.27,38.56,38.46,37.15,33.51,33.41,31.07,30.16,28.78,25.83,23.18
06-19-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,25.51,25.49,,23.95,23.57,23.48,25.07,23.18,26.23,27.89,29.03,30.13,30.92,32.54,36.65,37.09,35.29,42.58,43.02,42.26,33.15,30.58,30.84,27.86,25.31
06-20-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,21.55,16.31,,22.74,19.08,22.99,23.66,24.69,26.19,28.55,30.35,34.62,36.15,39.15,49.1,46.28,45.65,62.47,54.76,43.52,46.21,37.15,33.99,31.84,28.63
05-24-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,27.69,32.4,,25.37,25.05,25.51,25.98,28.59,33.07,37.77,40.78,37.42,35.57,34.63,33.63,33.16,32.0,31.39,31.73,30.48,29.17,31.06,30.26,26.1,22.53
05-25-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,24.87,26.93,,24.51,18.76,24.94,24.46,13.96,24.93,29.41,32.31,31.61,31.62,30.08,26.75,25.77,26.74,27.08,28.73,28.52,27.95,32.82,33.75,26.95,18.98
05-26-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,24.8,24.34,,11.83,21.41,26.4,22.76,6.3,22.97,29.36,29.34,26.41,26.1,26.42,26.66,26.2,26.06,27.05,30.07,29.51,25.86,28.49,31.48,25.96,13.42
05-27-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,16.86,8.1,,20.74,16.44,1.24,9.42,1.03,14.1,25.2,26.65,27.41,31.18,31.57,31.56,31.97,32.48,31.73,33.37,32.52,31.56,41.31,39.64,29.88,23.43
05-28-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,14.22,25.94,,24.32,23.84,25.37,24.18,31.34,32.83,34.13,35.79,36.26,43.79,40.24,33.12,39.53,62.04,22.24,33.34,44.59,44.93,46.99,44.16,35.26,33.0
05-29-2013,0,PECO,48823,BARBADOS35 KV   ABU2,BUS,TotalLMP,30.39,26.7,,22.87,24.05,23.22,21.98,26.6,30.43,32.91,36.73,37.93,35.52,40.27,48.84,54.16,46.74,64.7,75.14,54.51,56.95,67.02,95.1,37.86,33.65
