PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
11-15-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,27.37,26.1,,25.39,25.84,24.01,25.05,59.39,34.26,34.03,36.15,36.25,28.84,33.62,30.9,28.48,29.73,32.81,39.32,34.29,32.87,31.21,28.26,25.71,23.91
11-16-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,31.62,33.78,,25.88,25.81,25.66,27.37,28.41,26.38,28.51,32.99,32.71,28.25,26.7,25.04,23.87,24.28,28.23,73.56,35.36,37.33,29.84,24.15,23.22,21.65
11-17-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,21.44,21.48,,11.63,1.01,18.55,19.8,24.26,23.14,24.86,25.88,26.13,26.61,28.46,27.79,26.74,27.1,32.09,48.87,33.24,34.57,31.82,24.58,20.59,20.96
11-18-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,22.93,20.31,,5.99,8.5,19.84,23.63,29.05,30.39,29.96,30.5,31.26,36.01,34.89,31.23,30.13,29.09,29.4,47.05,51.38,52.07,35.49,30.15,27.45,25.07
11-19-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,25.31,27.09,,26.7,31.0,29.37,29.1,43.99,32.2,36.78,34.08,33.48,39.75,36.01,37.25,39.07,34.33,57.73,99.23,67.03,52.81,55.28,44.99,32.15,31.6
11-20-2013,1,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,31.06,29.2,,28.66,28.41,28.85,31.92,54.59,36.41,43.33,40.96,34.52,37.31,33.41,31.2,30.94,31.04,31.79,40.32,70.18,39.7,66.8,51.81,29.67,29.64
11-21-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,28.4,27.81,,27.23,27.68,30.62,32.32,51.18,39.93,44.44,34.6,42.26,30.62,29.61,32.43,30.4,30.61,31.45,37.57,32.41,31.41,31.37,30.07,27.0,24.09
07-05-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,30.99,29.3,,22.98,22.62,22.7,26.28,25.7,28.85,32.02,38.22,43.9,34.34,49.3,34.58,39.12,47.11,52.88,43.18,31.92,36.36,37.75,39.64,37.78,35.9
07-06-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,34.29,32.75,,26.33,25.84,24.03,23.43,24.23,28.04,39.5,54.36,153.06,48.41,53.16,56.41,136.72,148.99,139.31,94.9,54.91,49.07,49.32,60.31,39.5,38.24
07-07-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,34.43,33.06,,27.45,25.38,21.54,19.18,10.99,28.21,31.75,39.48,36.78,38.58,47.27,42.79,49.62,83.39,74.6,47.44,54.91,55.57,45.76,39.75,31.77,32.89
07-08-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,26.42,26.2,,23.31,19.56,23.62,26.86,28.75,30.41,34.12,35.45,40.68,45.86,51.62,47.9,62.48,75.54,53.8,58.7,58.67,59.5,51.07,50.08,37.63,31.16
07-09-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,29.59,27.69,,26.06,20.43,25.91,28.27,30.84,36.27,37.89,45.53,46.33,46.54,56.96,48.81,60.83,53.28,52.62,59.57,44.61,61.25,68.44,57.6,39.2,34.77
07-10-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,32.92,31.11,,29.75,27.99,29.4,34.28,36.42,43.88,50.99,56.44,52.41,54.26,55.04,79.45,55.09,59.43,46.56,58.13,47.7,45.54,54.34,51.84,38.83,33.39
07-11-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,32.72,31.31,,29.84,27.06,27.93,30.29,31.47,34.91,37.79,35.93,37.23,38.32,46.33,62.09,51.72,76.82,57.89,52.94,49.8,44.66,39.5,41.81,35.58,31.52
10-11-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,24.62,24.79,,25.19,25.54,24.87,24.33,28.45,29.0,30.12,34.6,35.43,38.63,48.13,38.12,30.59,31.91,32.34,30.54,34.63,39.45,30.68,28.39,26.92,26.76
10-12-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,26.27,25.21,,23.13,21.63,24.99,26.36,26.37,26.32,25.41,27.17,29.75,28.69,29.27,26.15,28.89,29.86,31.35,30.36,38.52,42.94,33.51,27.73,25.52,23.44
10-13-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,23.24,21.36,,5.77,17.21,18.09,19.04,23.38,23.28,23.53,23.78,24.36,24.51,26.89,25.93,25.92,28.12,28.99,29.25,34.91,36.83,31.17,27.82,27.46,29.59
10-14-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,23.6,21.02,,15.59,22.75,21.35,24.56,27.11,33.69,29.77,33.16,34.4,30.76,32.01,37.45,35.15,32.62,49.44,34.16,42.3,56.72,34.15,30.41,27.57,25.32
10-15-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,25.3,26.32,,24.18,23.7,26.14,27.96,53.05,74.39,35.72,39.42,66.0,42.77,39.52,52.3,32.54,31.68,31.91,34.18,38.93,58.65,33.94,33.66,27.2,26.9
10-16-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,24.89,25.35,,23.76,23.93,25.35,26.84,31.34,38.97,39.74,41.34,39.79,34.08,33.6,36.67,33.7,32.94,33.29,33.35,39.28,56.62,36.96,35.09,30.33,29.27
10-17-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,26.81,25.79,,25.47,25.47,25.94,26.35,39.1,53.47,43.99,40.68,38.17,38.64,51.86,34.96,34.21,35.09,33.75,35.56,42.31,51.84,27.63,33.17,29.39,27.25
06-14-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,24.5,25.31,,23.33,10.09,23.53,27.26,26.27,28.41,29.35,30.58,32.43,32.37,31.36,32.54,32.04,44.58,36.61,37.3,36.32,32.47,30.57,31.08,29.14,25.96
06-15-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,25.06,25.22,,25.97,7.33,17.47,24.38,23.36,30.15,29.63,31.68,33.6,39.93,40.47,42.73,39.38,43.55,42.21,43.93,39.22,36.14,35.89,39.07,31.23,30.07
06-16-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,27.83,27.5,,25.28,23.39,21.22,15.79,2.65,20.56,26.01,26.3,28.15,34.35,41.35,37.42,38.4,37.38,36.49,37.13,39.03,39.71,43.49,64.71,38.9,32.44
06-17-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,28.54,27.48,,26.56,25.34,26.41,27.91,29.12,30.94,35.12,49.04,64.42,66.18,65.7,98.22,91.62,64.54,67.61,57.92,50.25,49.23,55.26,68.25,42.9,33.98
06-18-2013,0,PECO,1047912,BETZWOOD230 KV  LOAD1,BUS,TotalLMP,29.65,28.83,,25.93,25.64,26.35,30.7,27.46,29.94,36.02,34.57,41.03,41.64,39.48,38.13,38.41,38.3,36.99,33.38,33.28,30.95,30.04,28.66,25.73,23.09
