PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
11-29-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.787019,31.450352,,31.426593,32.090244,31.489003,31.387558,25.484336,26.958402,32.450413,29.517195,31.297695,31.1345,28.734875,27.921097,27.118006,27.547891,28.705509,43.794099,37.828554,36.232111,36.154152,30.43263,34.319551,32.735666
11-30-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.521599,30.322622,,31.133185,32.063122,30.612291,30.363514,32.95074,38.081218,32.490878,35.71222,39.010336,31.610257,30.431163,30.119296,28.858915,28.942679,33.188627,45.665801,33.659121,38.523117,39.132172,34.708268,32.816824,29.513069
12-01-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.678648,30.218289,,28.960609,28.966441,28.526345,29.188917,35.063354,34.077959,27.113581,29.584987,28.835394,27.58984,27.402399,27.559725,27.357778,27.410482,38.434775,57.747288,36.614058,40.089968,35.426664,31.627085,29.129305,27.325634
12-02-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.673656,27.399158,,27.108764,26.126934,27.271412,27.868184,27.476253,25.147974,26.28855,25.644039,35.080954,36.149741,31.266358,30.428116,29.912607,30.120293,30.010716,48.787718,30.231026,30.11141,29.6979,34.837702,31.768733,29.716295
12-03-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.420916,28.543192,,29.130908,28.316168,28.708665,27.851718,42.936076,41.742091,36.416392,33.586988,27.782411,24.757862,21.881181,21.152292,24.408795,25.193873,26.960352,39.897078,36.688443,45.142396,44.115704,33.88763,28.013897,26.035455
12-04-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,29.032479,26.995656,,26.239817,26.928404,27.752478,27.456444,36.473689,41.956247,39.758463,37.05049,35.267729,32.889193,32.813984,28.500063,25.01703,23.477087,32.024027,45.718868,51.562104,47.014191,32.343813,25.179437,18.944407,14.02019
12-05-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.114791,21.378399,,22.079576,23.085396,24.611726,25.706425,31.608587,35.799686,33.216009,32.39679,38.468475,29.405764,33.941743,31.458024,30.738093,31.267912,70.177231,58.520873,39.049443,44.262126,40.071109,35.145576,27.865099,26.626488
11-01-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,20.46338,22.491268,,21.468515,19.846798,22.49014,23.896918,28.215609,32.482473,31.388827,33.308148,44.254999,37.316649,32.5613,32.056956,30.782633,35.49137,42.136953,42.184152,41.465604,29.19231,34.391805,29.712851,26.856119,26.648966
11-02-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.70481,26.400932,,25.985374,24.920201,26.11162,27.133948,28.043744,28.024591,30.489606,32.779447,38.997447,34.976941,32.596201,29.320722,28.877245,27.881215,29.177249,30.433798,48.444261,33.259709,34.399696,29.322927,27.568672,26.199497
11-03-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.625987,25.868934,24.361792,24.687858,24.490027,25.186461,28.167376,29.208525,29.805449,31.92107,32.251037,29.380162,28.974358,28.26821,26.888375,27.544559,27.385713,26.927681,38.033857,37.500557,33.236551,34.266297,29.198023,27.925515999999998,29.180342
11-04-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.850608,27.856429,,27.679648,28.165524,29.019355,30.790063,42.846377,39.996502,37.225188,32.018676,35.43381,38.152534,35.061974,37.74205,33.833969,46.381724,47.382472,82.82401,90.374962,61.410973,48.070535,35.210632,30.376564,28.510109
11-05-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.339958,27.422009,,26.757928,26.641465,27.478463,29.463073,53.164143,41.480661,34.961539,34.938713,42.679214,34.425563,35.736625,34.708239,33.994977,32.944308,42.50216,49.769274,49.752515,35.829432,46.120697,31.669922,26.858227,25.87059
11-06-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.252634,25.367937,,22.857447,24.723151,25.157977,25.212852,35.202631,29.647019,29.2272,30.147765,32.945281,31.973296,32.030978,31.848006,30.806308,30.050438,31.69198,56.259469,33.053665,32.609527,31.045043,27.644054,26.209477,23.990072
11-07-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.625266,23.492565,,22.742094,21.92062,25.656949,26.452096,29.638226,30.126612,32.065131,33.03666,34.914347,34.108078,34.48867,34.821005,32.69396,31.054619,31.852862,52.428809,52.529496,35.946704,37.52662,33.946463,28.612426,29.524149
06-28-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,35.651049,33.110753,,27.442098,25.735155,26.580333,28.399166,27.93841,42.203372,43.763492,52.609452,62.006576,52.221829,73.499092,57.379116,72.526689,62.682683,48.143242,35.648661,38.997442,36.61592,31.044603,35.750403,30.887256,29.120597
06-29-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.734404,29.326481,,23.731989,23.774654,24.180312,23.27571,24.202209,26.227901,28.817102,30.264635,38.941905,56.080613,39.717775,79.872591,43.189355,44.292211,105.424061,146.478634,59.368715,50.629379,45.839651,45.92425,36.049031,35.540267
06-30-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,32.405729,30.181606,,26.864807,25.258414,23.6628,24.86257,22.873789,25.473715,26.451034,28.013648,33.587178,45.296308,38.288842,47.590861,42.125582,42.162979,46.794099,51.266205,39.135966,38.695071,39.158449,36.275878,31.576266,29.173032
07-01-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.406853,24.755722,,23.175524,18.625999,20.251532,25.994994,25.075413,27.163938,30.015099,32.480626,32.484502,33.382294,34.118954,34.740793,34.542414,37.538881,40.486966,40.683863,35.39093,34.488537,33.444411,31.651003,27.161542,27.281848
07-02-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.591987,25.295525,,14.224194,14.084575,21.813688,25.796141,26.737509,27.900146,30.654851,33.483106,37.800651,49.269366,45.21148,48.939894,58.927421,54.315803,59.133122,48.071921,43.038528,38.621726,42.953513,38.542885,30.699453,29.775675
07-03-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.834311,26.58904,,23.028284,17.196569,23.372961,28.153343,28.404294,29.802719,39.792542,40.606726,46.242687,53.935223,73.009368,69.900616,78.913958,81.799704,65.547485,56.310659,41.57981,44.388399,39.010155,37.161891,45.824148,34.240027
07-04-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.105177,25.794613,,24.04786,24.643357,20.082063,25.461738,15.703039,22.962089,26.447406,29.810045,40.217446,48.840727,46.756888,44.968052,66.216049,85.804558,103.522756,54.594513,40.128953,36.639758,32.458132,32.340352,35.284984,33.257139
