PUBLISHDATE,PRICINGTYPE,VERSION,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
11/22/2013,TotalLMP,0,27.12,26.02,,22.7,24.52,24.35,22.25,28.87,35.46,44.58,39.04,41.05,38.07,31.46,31.27,30.62,30.77,32.18,38.8,35.48,29.99,30.4,29.88,27.8,26.46
11/23/2013,TotalLMP,0,26.38,24.82,,24.76,24.04,25.05,26.09,27.2,26.83,27.63,29.31,27.72,27.83,27.94,28.4,27.99,27.7,28.53,41.43,36.79,35.24,34.39,31.84,31.58,31.21
11/24/2013,TotalLMP,0,30.07,29.11,,30.06,30.73,30.52,30.59,30.67,34.15,42.46,40.81,38.77,35.15,39.86,32.31,31.53,29.64,45.76,45.36,41.68,40.69,38.5,38.17,33.35,31.77
11/25/2013,TotalLMP,1,32.3,31.31,,30.89,31.04,30.36,36.54,58.28,47.62,46.9,36.38,47.83,34.96,34.65,32.41,34.36,38.6,39.39,45.69,42.34,33.94,32.96,33.19,28.64,29.4
11/26/2013,TotalLMP,0,28.47,26.76,,26.51,25.98,24.96,23.95,28,30.33,33.37,33.34,36.75,54.12,39.76,43.04,38.08,36.99,45.57,38.1,32.28,31.21,31.55,29.1,26.8,26.09
11/27/2013,TotalLMP,0,25.78,25.85,,25.61,25.35,24.59,25.7,27.77,33.76,35.66,39.71,45.41,57.17,47.81,50.26,39.53,37.47,59.77,78.64,46.7,47.5,58.33,36.19,33.97,33.6
11/28/2013,TotalLMP,0,37.29,35.53,,31.97,30.15,31.82,29.58,30.74,31.02,35.58,57.35,46.31,36.56,31.03,27.93,27.19,26.08,26.42,29.02,29.36,29.55,32.18,32.16,31.19,30.8
12/20/2013,TotalLMP,0,26.56,25.42,,24.57,25.59,25.8,26.15,29.67,32.78,35.1,34.23,31.48,31.63,31.05,30.39,29.48,29.3,30.35,39.52,32.7,31.45,30.76,29.59,28.18,24.01
12/21/2013,TotalLMP,0,24.03,23.57,,23.83,21.93,24.9,25.44,25.65,27.21,28.3,30.06,30.65,31.3,30.26,29.16,27.9,28.16,30.42,36.59,37.78,33.02,31.27,29.56,26.73,21.61
12/22/2013,TotalLMP,0,24.4,22.41,,19.23,18.24,20.67,23.47,21.3,24.33,24.49,26.08,25.83,26.67,27,26.74,25.87,25.2,28.21,32.43,31.28,31.78,30.26,28.34,27.51,19.91
